rectangular plate barcode labels for PIXL-Spinnaker	sample	experiment sheet	dilution or cells/uL	uL plated	agar_plate_media	media batch date	Unnamed: 7	Unnamed: 8	__stage	__source_sheet	target_plate_ID	library	array density	link	target_plate_media_type	media_batch_date	glycerol_stock_label	Unnamed: 9	Unnamed: 10	barcode	plate_media	MAT alpha array barcode (typically a MAGESTIC array, also can be yT100)	MAT a barcoder array (REDI BC V5 and yT182/yT183)	MAT alpha array description (MAGESTIC/MARVEL libraries, yT100, etc.)	MAT a array description (SHA435 REDI BC V5, yT18X, etc.)	RED	BLUE	YELLOW	GREEN	plate media	dilution	384 YPD+G418 agar plate barcode	384 YPD+G418 glycerol stock plate label	Unnamed: 2	Unnamed: 3	1536 consolidation plate description	Unnamed: 5	Unnamed: 6	Unnamed: 11	Unnamed: 12	batch_number	rearray_file_number_suffix	Target_plate_ID	first_source_plate	second_source_plate	total_colonies_from_first_source_plate	total_colonies_from_second_source_plate	for REDI plate
1000.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1001.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1002.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1003.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1004.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1005.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1006.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1007.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1008.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1009.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1010.0	"yL274+yL275+yL276 barcoded           12500-fold dilution
with additional 6g YPD+G418              100 uL
O/N outgrowth 20220426                     "	source	random spread		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1011.0	yL274+yL275+yL276	target	1536		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1012.0	yL274+yL275+yL276	target	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1013.0	yL274+yL275+yL276	target	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1014.0	yL274+yL275+yL276	target	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1015.0	yL274+yL275+yL276	target	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1016.0	yL274+yL275+yL276	target	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1017.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1018.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1019.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1020.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1021.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1022.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1023.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1024.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1025.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1026.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1027.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1028.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1029.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1030.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1031.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1032.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1033.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1034.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1035.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1036.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1037.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1038.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1039.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1040.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1041.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1042.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1043.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1044.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1045.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1046.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1047.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1048.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1049.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1050.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1051.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1052.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1053.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1054.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1055.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1056.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1057.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1058.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
1059.0	nan	nan	nan		nan		nan	nan	Source	Source_Plates_1000-1999																																						
